,mrna,life,ocugen,stock,effect,please,thank,share,pfizer,today,people,time,ocgn,emergency,vaccination,rxdx,sinopharm,japan,year,world,thanks,day,moderna,bharatbiotech,death,kid,biotech,man,fee,mohfw,sinovac,miracle,cdc,company,need,mansukhmandviya,biontech,covidvaccine,report,scientist,congratulation,booster,pfizerbiontech,amp,risk,drug,jab,fda,covaxin,country,dos,pincode,hosp,potus,group,availability,china,month,coronavirus,government,trial,data,canada,date,list,case,bengaluru,yesterday,govcanhealth,dose,efficacy,pmoindia,shot,apollo,covishield,news,covaxinapproval,use,vaccine,side,health,slot,hospital,delta,study,doctorsoumya,week,approval,age,sputnikv,child,drtedros,sep,astrazeneca,work,get,india,sputnik,travel,bharat
cdc,17.0,2.0,3.0,0.0,1.0,2.0,1.0,7.0,106.0,11.0,23.0,15.0,2.0,2.0,8.0,0.0,3.0,1.0,1.0,3.0,1.0,3.0,78.0,1.0,15.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,385.0,0.0,1.0,0.0,2.0,9.0,8.0,0.0,0.0,74.0,10.0,31.0,3.0,0.0,2.0,56.0,16.0,0.0,8.0,0.0,0.0,16.0,4.0,0.0,5.0,9.0,11.0,2.0,0.0,7.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,6.0,3.0,1.0,44.0,0.0,0.0,15.0,1.0,5.0,125.0,0.0,6.0,0.0,0.0,5.0,28.0,0.0,7.0,14.0,1.0,1.0,9.0,0.0,0.0,7.0,3.0,3.0,1.0,0.0,2.0,0.0
company,25.0,1.0,12.0,11.0,1.0,5.0,0.0,28.0,25.0,11.0,10.0,12.0,6.0,9.0,5.0,0.0,6.0,8.0,13.0,13.0,4.0,3.0,102.0,16.0,0.0,5.0,56.0,1.0,0.0,1.0,17.0,1.0,0.0,463.0,0.0,0.0,9.0,2.0,5.0,5.0,1.0,9.0,6.0,13.0,1.0,27.0,2.0,12.0,52.0,8.0,16.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,7.0,5.0,8.0,11.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,10.0,0.0,0.0,6.0,1.0,14.0,155.0,1.0,7.0,0.0,0.0,1.0,4.0,2.0,6.0,10.0,0.0,5.0,7.0,0.0,1.0,3.0,12.0,7.0,16.0,0.0,0.0,17.0
need,16.0,3.0,50.0,5.0,6.0,13.0,4.0,0.0,48.0,4.0,16.0,12.0,21.0,1.0,7.0,0.0,3.0,1.0,4.0,31.0,1.0,2.0,35.0,54.0,1.0,3.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,0.0,486.0,2.0,2.0,6.0,0.0,2.0,0.0,35.0,3.0,9.0,0.0,1.0,3.0,26.0,248.0,2.0,3.0,0.0,0.0,17.0,1.0,0.0,1.0,8.0,5.0,3.0,6.0,22.0,10.0,0.0,2.0,1.0,1.0,1.0,14.0,4.0,6.0,0.0,16.0,0.0,5.0,15.0,1.0,3.0,135.0,7.0,2.0,2.0,1.0,9.0,3.0,5.0,6.0,44.0,2.0,18.0,9.0,15.0,0.0,2.0,17.0,3.0,5.0,1.0,1.0,1.0
mansukhmandviya,0.0,1.0,5.0,0.0,0.0,10.0,4.0,1.0,2.0,12.0,14.0,4.0,1.0,6.0,8.0,0.0,0.0,0.0,2.0,7.0,5.0,6.0,1.0,103.0,0.0,7.0,1.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,2.0,386.0,0.0,3.0,1.0,8.0,5.0,3.0,0.0,5.0,0.0,1.0,0.0,1.0,198.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,94.0,1.0,0.0,6.0,7.0,7.0,6.0,19.0,0.0,39.0,0.0,0.0,0.0,2.0,57.0,3.0,61.0,0.0,0.0,1.0,21.0,0.0,0.0,1.0,17.0,128.0,1.0,6.0,3.0
biontech,20.0,2.0,0.0,8.0,13.0,3.0,0.0,11.0,344.0,4.0,13.0,7.0,0.0,6.0,22.0,0.0,2.0,0.0,6.0,4.0,2.0,7.0,235.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,11.0,0.0,2.0,9.0,2.0,0.0,486.0,3.0,12.0,2.0,0.0,45.0,23.0,29.0,5.0,8.0,7.0,27.0,10.0,9.0,3.0,0.0,0.0,1.0,12.0,0.0,4.0,13.0,19.0,2.0,12.0,7.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,3.0,0.0,25.0,0.0,0.0,12.0,1.0,13.0,250.0,8.0,8.0,0.0,0.0,2.0,14.0,0.0,5.0,20.0,8.0,1.0,12.0,0.0,0.0,17.0,4.0,4.0,2.0,4.0,1.0,1.0
covidvaccine,11.0,0.0,13.0,2.0,17.0,7.0,8.0,3.0,114.0,22.0,26.0,13.0,8.0,12.0,158.0,0.0,14.0,16.0,17.0,16.0,2.0,20.0,199.0,35.0,5.0,18.0,10.0,1.0,0.0,3.0,30.0,0.0,9.0,2.0,6.0,3.0,3.0,6012.0,7.0,4.0,6.0,91.0,30.0,20.0,4.0,6.0,13.0,16.0,593.0,8.0,15.0,0.0,0.0,4.0,8.0,5080.0,3.0,15.0,13.0,6.0,6.0,10.0,9.0,0.0,1.0,6.0,5080.0,7.0,6.0,1123.0,7.0,3.0,53.0,0.0,4835.0,12.0,27.0,18.0,161.0,17.0,10.0,7941.0,3.0,1.0,16.0,0.0,19.0,36.0,15.0,15.0,17.0,11.0,14.0,15.0,5.0,20.0,27.0,3.0,3.0,9.0
report,9.0,0.0,5.0,6.0,16.0,2.0,1.0,8.0,60.0,9.0,19.0,20.0,6.0,11.0,10.0,0.0,4.0,60.0,15.0,5.0,4.0,8.0,254.0,22.0,20.0,14.0,18.0,0.0,0.0,2.0,6.0,0.0,8.0,5.0,0.0,1.0,12.0,7.0,741.0,2.0,0.0,23.0,7.0,5.0,9.0,6.0,5.0,7.0,114.0,36.0,26.0,0.0,0.0,0.0,5.0,0.0,4.0,12.0,19.0,9.0,10.0,15.0,1.0,0.0,1.0,29.0,1.0,3.0,1.0,4.0,9.0,1.0,12.0,0.0,4.0,22.0,0.0,30.0,293.0,17.0,17.0,0.0,1.0,2.0,14.0,0.0,19.0,24.0,16.0,7.0,16.0,1.0,1.0,4.0,0.0,10.0,13.0,4.0,0.0,20.0
scientist,3.0,7.0,3.0,3.0,3.0,1.0,6.0,0.0,19.0,9.0,13.0,4.0,3.0,10.0,5.0,0.0,2.0,0.0,16.0,10.0,9.0,7.0,28.0,32.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,2.0,4.0,2.0,381.0,34.0,6.0,1.0,24.0,1.0,2.0,2.0,5.0,177.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,3.0,4.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,8.0,4.0,12.0,97.0,0.0,53.0,0.0,0.0,3.0,3.0,28.0,1.0,39.0,5.0,2.0,12.0,3.0,1.0,0.0,10.0,8.0,14.0,0.0,0.0,11.0
congratulation,2.0,1.0,7.0,0.0,0.0,3.0,27.0,0.0,1.0,5.0,18.0,5.0,1.0,38.0,27.0,0.0,0.0,0.0,26.0,14.0,10.0,10.0,3.0,122.0,0.0,4.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,0.0,34.0,388.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0,275.0,6.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,1.0,0.0,8.0,22.0,12.0,33.0,45.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,98.0,3.0,1.0,28.0,6.0,0.0,0.0,5.0,70.0,134.0,0.0,2.0,39.0
booster,70.0,11.0,12.0,15.0,109.0,20.0,17.0,6.0,523.0,242.0,130.0,96.0,8.0,32.0,71.0,0.0,31.0,1.0,53.0,21.0,24.0,113.0,1349.0,20.0,8.0,10.0,12.0,4.0,0.0,3.0,62.0,1.0,74.0,9.0,35.0,3.0,45.0,91.0,23.0,6.0,0.0,3677.0,61.0,195.0,48.0,35.0,73.0,232.0,107.0,8.0,72.0,0.0,0.0,15.0,37.0,2.0,7.0,130.0,52.0,13.0,22.0,64.0,22.0,4.0,0.0,32.0,0.0,124.0,5.0,141.0,16.0,0.0,1195.0,0.0,17.0,79.0,1.0,59.0,808.0,84.0,56.0,1.0,3.0,22.0,63.0,1.0,75.0,54.0,17.0,12.0,8.0,3.0,1.0,22.0,42.0,100.0,4.0,3.0,5.0,8.0
pfizerbiontech,6.0,2.0,0.0,2.0,12.0,1.0,13.0,1.0,119.0,51.0,14.0,6.0,0.0,12.0,27.0,0.0,5.0,0.0,16.0,7.0,6.0,11.0,33.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,6.0,3.0,0.0,23.0,30.0,7.0,1.0,0.0,61.0,762.0,15.0,6.0,10.0,25.0,55.0,0.0,5.0,35.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,9.0,2.0,18.0,19.0,10.0,0.0,1.0,7.0,0.0,3.0,1.0,32.0,4.0,0.0,43.0,0.0,0.0,19.0,0.0,13.0,251.0,7.0,12.0,0.0,4.0,2.0,11.0,0.0,4.0,68.0,8.0,1.0,31.0,0.0,0.0,10.0,4.0,8.0,1.0,1.0,1.0,0.0
amp,28.0,10.0,16.0,14.0,19.0,14.0,22.0,19.0,301.0,89.0,66.0,31.0,15.0,30.0,87.0,0.0,58.0,5.0,27.0,42.0,13.0,28.0,414.0,68.0,13.0,16.0,48.0,1.0,0.0,76.0,50.0,1.0,31.0,13.0,9.0,5.0,29.0,20.0,5.0,24.0,12.0,195.0,15.0,1960.0,14.0,18.0,26.0,61.0,446.0,51.0,70.0,0.0,1.0,5.0,19.0,4.0,32.0,35.0,12.0,16.0,24.0,28.0,12.0,4.0,5.0,83.0,0.0,4.0,4.0,71.0,13.0,5.0,107.0,0.0,93.0,37.0,9.0,53.0,478.0,8.0,40.0,2.0,7.0,14.0,46.0,3.0,27.0,68.0,19.0,24.0,23.0,6.0,2.0,26.0,24.0,31.0,81.0,6.0,19.0,56.0
risk,13.0,3.0,1.0,2.0,19.0,0.0,2.0,1.0,36.0,4.0,38.0,11.0,1.0,2.0,13.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,106.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,0.0,5.0,4.0,9.0,1.0,0.0,48.0,6.0,14.0,438.0,2.0,23.0,28.0,20.0,7.0,3.0,0.0,0.0,0.0,30.0,0.0,2.0,4.0,13.0,1.0,1.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,32.0,0.0,3.0,12.0,0.0,21.0,178.0,18.0,24.0,0.0,2.0,4.0,20.0,0.0,15.0,3.0,13.0,7.0,11.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0
drug,7.0,6.0,3.0,1.0,4.0,1.0,2.0,13.0,48.0,6.0,17.0,6.0,4.0,36.0,4.0,0.0,23.0,0.0,16.0,10.0,0.0,5.0,101.0,24.0,3.0,7.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,27.0,1.0,1.0,8.0,6.0,6.0,2.0,0.0,35.0,10.0,18.0,2.0,493.0,2.0,39.0,86.0,7.0,12.0,0.0,0.0,7.0,14.0,0.0,10.0,13.0,11.0,8.0,18.0,18.0,4.0,1.0,2.0,3.0,0.0,0.0,4.0,8.0,2.0,0.0,18.0,0.0,5.0,5.0,2.0,51.0,121.0,3.0,8.0,0.0,0.0,0.0,10.0,0.0,2.0,61.0,15.0,10.0,23.0,1.0,0.0,6.0,1.0,7.0,49.0,6.0,0.0,17.0
jab,19.0,6.0,0.0,5.0,32.0,3.0,13.0,2.0,96.0,46.0,36.0,16.0,5.0,7.0,31.0,0.0,36.0,23.0,14.0,5.0,5.0,20.0,243.0,17.0,20.0,14.0,8.0,8.0,0.0,3.0,36.0,0.0,2.0,2.0,3.0,0.0,7.0,13.0,5.0,2.0,2.0,73.0,25.0,26.0,23.0,2.0,894.0,6.0,126.0,10.0,9.0,0.0,0.0,3.0,5.0,0.0,13.0,21.0,13.0,10.0,5.0,15.0,3.0,2.0,3.0,5.0,0.0,11.0,1.0,11.0,7.0,4.0,8.0,1.0,18.0,18.0,0.0,16.0,151.0,28.0,22.0,1.0,1.0,2.0,14.0,1.0,23.0,12.0,9.0,38.0,15.0,0.0,0.0,27.0,7.0,29.0,27.0,12.0,10.0,5.0
fda,47.0,4.0,203.0,4.0,6.0,17.0,4.0,3.0,293.0,19.0,47.0,24.0,82.0,50.0,14.0,0.0,10.0,1.0,27.0,22.0,0.0,8.0,280.0,97.0,7.0,30.0,11.0,1.0,0.0,0.0,6.0,0.0,56.0,12.0,26.0,1.0,27.0,16.0,7.0,5.0,1.0,232.0,55.0,61.0,28.0,39.0,6.0,1405.0,409.0,9.0,20.0,0.0,0.0,80.0,8.0,0.0,4.0,10.0,43.0,8.0,12.0,37.0,25.0,2.0,1.0,6.0,0.0,2.0,95.0,21.0,12.0,0.0,115.0,0.0,8.0,41.0,9.0,75.0,484.0,6.0,14.0,0.0,1.0,16.0,8.0,3.0,14.0,188.0,17.0,5.0,23.0,3.0,0.0,7.0,11.0,17.0,3.0,0.0,0.0,13.0
covaxin,219.0,112.0,1274.0,104.0,98.0,303.0,181.0,40.0,186.0,292.0,460.0,302.0,975.0,1212.0,510.0,413.0,33.0,7.0,623.0,796.0,100.0,226.0,64.0,2202.0,23.0,601.0,961.0,36.0,7194.0,140.0,40.0,341.0,16.0,52.0,248.0,198.0,10.0,593.0,114.0,177.0,275.0,107.0,0.0,446.0,20.0,86.0,126.0,409.0,26164.0,368.0,260.0,7926.0,656.0,211.0,249.0,308.0,59.0,264.0,166.0,118.0,296.0,379.0,296.0,7248.0,208.0,52.0,296.0,32.0,330.0,8144.0,234.0,196.0,154.0,941.0,828.0,514.0,503.0,1213.0,2939.0,79.0,343.0,8305.0,583.0,133.0,166.0,188.0,378.0,2443.0,15260.0,27.0,651.0,449.0,3514.0,13.0,87.0,708.0,1253.0,17.0,286.0,995.0
country,5.0,8.0,8.0,2.0,5.0,21.0,3.0,4.0,56.0,22.0,56.0,18.0,11.0,11.0,73.0,0.0,46.0,21.0,18.0,63.0,4.0,7.0,121.0,49.0,7.0,11.0,37.0,2.0,0.0,7.0,32.0,1.0,0.0,8.0,2.0,3.0,9.0,8.0,36.0,3.0,6.0,8.0,5.0,51.0,7.0,7.0,10.0,9.0,368.0,1216.0,54.0,0.0,1.0,3.0,5.0,0.0,43.0,4.0,14.0,15.0,5.0,10.0,12.0,3.0,52.0,13.0,0.0,3.0,2.0,6.0,3.0,7.0,9.0,0.0,79.0,19.0,6.0,39.0,342.0,3.0,36.0,0.0,1.0,3.0,5.0,6.0,10.0,92.0,10.0,51.0,16.0,11.0,0.0,3.0,9.0,7.0,74.0,9.0,26.0,36.0
dos,9.0,2.0,3.0,7.0,15.0,3.0,8.0,6.0,80.0,88.0,30.0,19.0,4.0,4.0,70.0,0.0,216.0,238.0,24.0,19.0,4.0,33.0,213.0,19.0,5.0,2.0,10.0,5.0,0.0,4.0,95.0,1.0,8.0,16.0,3.0,2.0,3.0,15.0,26.0,1.0,6.0,72.0,35.0,70.0,3.0,12.0,9.0,20.0,260.0,54.0,1624.0,0.0,0.0,3.0,2.0,2.0,99.0,45.0,37.0,41.0,2.0,12.0,12.0,10.0,1.0,2.0,1.0,49.0,0.0,49.0,7.0,1.0,22.0,0.0,65.0,35.0,0.0,57.0,837.0,16.0,93.0,0.0,5.0,2.0,12.0,2.0,25.0,17.0,9.0,60.0,10.0,1.0,7.0,69.0,1.0,20.0,63.0,8.0,3.0,10.0
pincode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,7755.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7926.0,0.0,0.0,8489.0,652.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7756.0,0.0,0.0,0.0,0.0,0.0,8485.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8485.0,555.0,0.0,0.0,0.0,0.0,0.0,15999.0,1.0,0.0,0.0,3774.0,0.0,0.0,0.0,51.0,618.0,0.0,0.0
hosp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,656.0,1.0,0.0,652.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,652.0,0.0,0.0,1.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,652.0,1.0,0.0,0.0,0.0,0.0,1.0,1229.0,0.0,0.0,0.0,328.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
potus,23.0,5.0,81.0,2.0,1.0,11.0,6.0,3.0,38.0,3.0,37.0,7.0,11.0,0.0,7.0,0.0,1.0,0.0,2.0,14.0,4.0,1.0,43.0,58.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,1.0,17.0,1.0,1.0,4.0,0.0,0.0,1.0,15.0,3.0,5.0,0.0,7.0,3.0,80.0,211.0,3.0,3.0,0.0,0.0,417.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,9.0,0.0,0.0,4.0,0.0,3.0,16.0,3.0,2.0,7.0,22.0,0.0,0.0,2.0,0.0,1.0,121.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,3.0,8.0,1.0,1.0,4.0,5.0,0.0,0.0,2.0,11.0,5.0,0.0,3.0,0.0
group,5.0,0.0,3.0,0.0,3.0,3.0,0.0,2.0,32.0,12.0,12.0,5.0,4.0,74.0,38.0,0.0,20.0,0.0,75.0,22.0,1.0,5.0,31.0,39.0,1.0,18.0,31.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,12.0,8.0,5.0,9.0,2.0,37.0,3.0,19.0,30.0,14.0,5.0,8.0,249.0,5.0,2.0,2.0,0.0,1.0,563.0,0.0,9.0,9.0,10.0,2.0,33.0,27.0,2.0,1.0,2.0,7.0,0.0,1.0,0.0,2.0,3.0,0.0,12.0,0.0,0.0,19.0,14.0,96.0,132.0,5.0,19.0,0.0,2.0,1.0,8.0,2.0,19.0,48.0,240.0,2.0,29.0,1.0,0.0,0.0,2.0,12.0,20.0,0.0,0.0,30.0
availability,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5080.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,308.0,0.0,2.0,0.0,0.0,0.0,0.0,5126.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5080.0,0.0,1.0,1109.0,0.0,0.0,1.0,0.0,4793.0,0.0,0.0,2.0,12.0,0.0,1.0,7942.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0
china,4.0,2.0,1.0,1.0,0.0,2.0,4.0,1.0,18.0,15.0,29.0,11.0,1.0,16.0,27.0,0.0,198.0,1.0,15.0,10.0,1.0,6.0,15.0,2.0,3.0,2.0,10.0,0.0,0.0,0.0,179.0,0.0,5.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,0.0,7.0,1.0,32.0,2.0,10.0,13.0,4.0,59.0,43.0,99.0,0.0,0.0,0.0,9.0,0.0,794.0,5.0,16.0,14.0,7.0,7.0,13.0,4.0,12.0,13.0,0.0,2.0,0.0,3.0,7.0,1.0,3.0,0.0,8.0,16.0,0.0,19.0,438.0,4.0,11.0,0.0,0.0,10.0,3.0,1.0,4.0,29.0,3.0,4.0,17.0,11.0,0.0,3.0,2.0,2.0,17.0,1.0,4.0,1.0
month,14.0,22.0,13.0,17.0,14.0,7.0,3.0,3.0,97.0,16.0,31.0,31.0,9.0,5.0,32.0,0.0,14.0,1.0,17.0,7.0,1.0,26.0,156.0,48.0,6.0,4.0,17.0,2.0,0.0,7.0,16.0,0.0,9.0,4.0,8.0,2.0,13.0,15.0,12.0,4.0,2.0,130.0,7.0,35.0,4.0,13.0,21.0,10.0,264.0,4.0,45.0,0.0,0.0,3.0,9.0,1.0,5.0,956.0,14.0,10.0,15.0,24.0,6.0,10.0,3.0,15.0,0.0,8.0,6.0,49.0,16.0,3.0,80.0,0.0,20.0,17.0,3.0,14.0,254.0,11.0,22.0,3.0,2.0,2.0,27.0,2.0,21.0,75.0,14.0,15.0,7.0,7.0,2.0,4.0,8.0,36.0,32.0,1.0,4.0,13.0
coronavirus,12.0,6.0,1.0,2.0,5.0,2.0,1.0,2.0,114.0,10.0,19.0,8.0,1.0,26.0,58.0,0.0,39.0,25.0,13.0,22.0,0.0,5.0,148.0,14.0,45.0,9.0,13.0,2.0,0.0,0.0,28.0,0.0,11.0,7.0,5.0,0.0,19.0,13.0,19.0,3.0,0.0,52.0,9.0,12.0,13.0,11.0,13.0,43.0,166.0,14.0,37.0,0.0,0.0,1.0,10.0,0.0,16.0,14.0,750.0,10.0,6.0,7.0,4.0,0.0,4.0,35.0,0.0,1.0,0.0,4.0,10.0,0.0,29.0,0.0,22.0,21.0,0.0,29.0,359.0,2.0,30.0,0.0,1.0,6.0,24.0,0.0,8.0,29.0,5.0,28.0,15.0,2.0,0.0,28.0,4.0,11.0,28.0,7.0,6.0,13.0
government,6.0,3.0,0.0,2.0,9.0,7.0,6.0,4.0,53.0,15.0,35.0,8.0,2.0,18.0,27.0,0.0,33.0,4.0,9.0,24.0,5.0,3.0,83.0,17.0,5.0,19.0,15.0,1.0,0.0,1.0,21.0,0.0,2.0,5.0,3.0,1.0,2.0,6.0,9.0,5.0,3.0,13.0,2.0,16.0,1.0,8.0,10.0,8.0,118.0,15.0,41.0,0.0,0.0,2.0,2.0,0.0,14.0,10.0,10.0,626.0,1.0,7.0,5.0,2.0,24.0,4.0,0.0,3.0,3.0,5.0,6.0,2.0,15.0,0.0,10.0,12.0,0.0,16.0,182.0,6.0,28.0,1.0,6.0,3.0,2.0,1.0,4.0,26.0,12.0,8.0,11.0,1.0,1.0,4.0,2.0,10.0,20.0,0.0,5.0,11.0
trial,41.0,2.0,14.0,1.0,4.0,3.0,3.0,4.0,57.0,7.0,7.0,10.0,16.0,5.0,8.0,0.0,8.0,0.0,53.0,17.0,0.0,5.0,120.0,92.0,2.0,24.0,46.0,1.0,0.0,1.0,22.0,0.0,0.0,8.0,6.0,0.0,12.0,6.0,10.0,0.0,0.0,22.0,18.0,24.0,1.0,18.0,5.0,12.0,296.0,5.0,2.0,0.0,0.0,1.0,33.0,0.0,7.0,15.0,6.0,1.0,733.0,151.0,2.0,1.0,1.0,2.0,0.0,1.0,7.0,18.0,27.0,1.0,17.0,0.0,12.0,13.0,2.0,21.0,286.0,2.0,4.0,0.0,2.0,27.0,12.0,0.0,23.0,21.0,41.0,24.0,99.0,1.0,0.0,2.0,5.0,7.0,34.0,19.0,2.0,43.0
data,22.0,3.0,14.0,2.0,8.0,5.0,0.0,5.0,99.0,4.0,15.0,23.0,18.0,21.0,21.0,0.0,6.0,1.0,35.0,32.0,3.0,9.0,116.0,127.0,11.0,23.0,59.0,0.0,0.0,5.0,18.0,0.0,7.0,11.0,22.0,2.0,7.0,10.0,15.0,3.0,0.0,64.0,19.0,28.0,21.0,18.0,15.0,37.0,379.0,10.0,12.0,0.0,0.0,1.0,27.0,2.0,7.0,24.0,7.0,7.0,151.0,991.0,6.0,3.0,0.0,14.0,0.0,3.0,8.0,10.0,49.0,1.0,27.0,0.0,9.0,11.0,3.0,34.0,252.0,5.0,35.0,0.0,0.0,30.0,20.0,8.0,24.0,43.0,28.0,27.0,31.0,6.0,2.0,5.0,10.0,6.0,27.0,8.0,1.0,61.0
canada,26.0,2.0,60.0,2.0,3.0,13.0,0.0,4.0,40.0,3.0,21.0,7.0,44.0,2.0,5.0,0.0,35.0,0.0,17.0,19.0,2.0,0.0,107.0,40.0,2.0,15.0,3.0,0.0,0.0,2.0,33.0,0.0,1.0,0.0,10.0,1.0,6.0,9.0,1.0,0.0,2.0,22.0,10.0,12.0,0.0,4.0,3.0,25.0,296.0,12.0,12.0,0.0,0.0,9.0,2.0,0.0,13.0,6.0,4.0,5.0,2.0,6.0,897.0,0.0,8.0,419.0,0.0,0.0,70.0,1.0,12.0,4.0,19.0,0.0,1.0,11.0,4.0,12.0,351.0,2.0,87.0,0.0,0.0,6.0,2.0,1.0,2.0,57.0,8.0,1.0,28.0,2.0,0.0,2.0,3.0,12.0,7.0,0.0,14.0,4.0
date,1.0,4.0,2.0,3.0,1.0,2.0,0.0,3.0,7.0,8.0,32.0,5.0,4.0,1.0,20.0,483.0,10.0,0.0,2.0,85.0,1.0,6.0,25.0,12.0,1.0,76.0,1.0,1.0,7754.0,0.0,4.0,450.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,7248.0,3.0,10.0,7756.0,652.0,0.0,1.0,1.0,4.0,10.0,0.0,2.0,1.0,3.0,0.0,7939.0,0.0,1.0,0.0,0.0,0.0,7770.0,3.0,2.0,2.0,941.0,3.0,7.0,2.0,0.0,45.0,1.0,1.0,7759.0,555.0,1.0,1.0,6.0,9.0,28.0,14539.0,5.0,2.0,4.0,3775.0,2.0,2.0,2.0,55.0,618.0,1.0,1.0
list,1.0,0.0,0.0,1.0,4.0,6.0,2.0,3.0,6.0,5.0,3.0,2.0,1.0,12.0,37.0,0.0,26.0,0.0,0.0,4.0,2.0,2.0,35.0,13.0,0.0,0.0,49.0,0.0,0.0,2.0,18.0,0.0,4.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,3.0,1.0,208.0,52.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,3.0,4.0,24.0,1.0,0.0,8.0,0.0,370.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,13.0,3.0,12.0,100.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,33.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,30.0,1.0,19.0,49.0
