,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,today,covidvaccines,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,hope,sputnikv,oxford,worker,astrazeneca,work,get,end,care,india
death,1.0,4.0,10.0,6.0,1.0,23.0,2.0,2.0,50.0,15.0,3.0,0.0,26.0,14.0,3.0,1.0,1.0,2.0,2.0,36.0,21.0,0.0,2.0,3.0,0.0,0.0,7.0,7.0,16.0,4.0,23.0,63.0,543.0,0.0,55.0,3.0,0.0,4.0,3.0,0.0,0.0,2.0,2.0,2.0,8.0,61.0,16.0,0.0,1.0,0.0,2.0,4.0,17.0,16.0,3.0,26.0,6.0,3.0,0.0,1.0,0.0,22.0,0.0,2.0,108.0,8.0,1.0,2.0,95.0,9.0,2.0,4.0,3.0,6.0,38.0,16.0,0.0,5.0,4.0,2.0,151.0,22.0,11.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,1.0,46.0,1.0,0.0,30.0,3.0,1.0,1.0,0.0,19.0
arm,1.0,15.0,2.0,4.0,2.0,135.0,7.0,15.0,18.0,43.0,102.0,1.0,13.0,15.0,24.0,1.0,2.0,0.0,0.0,31.0,0.0,0.0,1.0,5.0,0.0,32.0,7.0,2.0,16.0,14.0,169.0,556.0,0.0,1159.0,3.0,2.0,2.0,45.0,2.0,0.0,3.0,3.0,1.0,1.0,59.0,12.0,0.0,4.0,2.0,9.0,2.0,23.0,38.0,37.0,0.0,17.0,1.0,0.0,10.0,81.0,0.0,1.0,47.0,6.0,4.0,1.0,3.0,1.0,3.0,1.0,108.0,23.0,50.0,4.0,181.0,276.0,0.0,3.0,3.0,0.0,259.0,93.0,3.0,1.0,1.0,0.0,0.0,41.0,0.0,7.0,1.0,6.0,4.0,1.0,5.0,5.0,20.0,4.0,2.0,7.0
sinovac,16.0,1.0,3.0,8.0,27.0,16.0,5.0,16.0,58.0,8.0,61.0,3.0,54.0,12.0,16.0,1.0,35.0,4.0,41.0,91.0,3.0,0.0,129.0,6.0,0.0,2.0,6.0,41.0,2.0,7.0,32.0,10.0,55.0,3.0,2059.0,9.0,6.0,9.0,2.0,14.0,5.0,0.0,20.0,7.0,37.0,17.0,4.0,3.0,3.0,2.0,0.0,4.0,41.0,47.0,5.0,20.0,57.0,144.0,12.0,2.0,12.0,485.0,14.0,12.0,67.0,29.0,36.0,1.0,29.0,54.0,18.0,0.0,26.0,73.0,3.0,50.0,157.0,21.0,55.0,9.0,1055.0,9.0,52.0,2.0,17.0,27.0,10.0,28.0,15.0,16.0,9.0,24.0,5.0,21.0,45.0,22.0,14.0,9.0,4.0,5.0
doe,1.0,27.0,5.0,4.0,5.0,4.0,2.0,1.0,24.0,0.0,16.0,1.0,11.0,3.0,3.0,0.0,1.0,1.0,4.0,12.0,12.0,0.0,6.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,8.0,60.0,3.0,2.0,9.0,351.0,1.0,4.0,2.0,2.0,5.0,0.0,1.0,1.0,9.0,2.0,0.0,2.0,1.0,1.0,4.0,6.0,5.0,9.0,2.0,58.0,4.0,5.0,3.0,3.0,0.0,0.0,5.0,1.0,3.0,1.0,4.0,2.0,1.0,9.0,2.0,4.0,6.0,8.0,3.0,11.0,0.0,6.0,8.0,0.0,143.0,3.0,10.0,0.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,25.0,4.0,2.0,13.0,14.0,4.0,0.0,1.0,9.0
healthcare,1.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,8.0,0.0,10.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,9.0,3.0,1.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,15.0,0.0,2.0,6.0,1.0,129.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,10.0,2.0,1.0,11.0,0.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,4.0,3.0,1.0,33.0,0.0,7.0,1.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,56.0,0.0,2.0,3.0,0.0,3.0,5.0
injection,1.0,5.0,4.0,1.0,0.0,43.0,0.0,1.0,17.0,11.0,25.0,0.0,4.0,3.0,5.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,4.0,3.0,0.0,155.0,1.0,0.0,6.0,5.0,43.0,104.0,4.0,45.0,9.0,4.0,0.0,334.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0,0.0,1.0,0.0,8.0,10.0,6.0,0.0,22.0,0.0,1.0,2.0,8.0,2.0,5.0,8.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,17.0,5.0,15.0,0.0,50.0,34.0,1.0,1.0,2.0,0.0,77.0,34.0,1.0,0.0,2.0,0.0,1.0,8.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0
pfizervaccine,1.0,3.0,4.0,3.0,0.0,5.0,2.0,4.0,63.0,0.0,12.0,1.0,7.0,2.0,5.0,0.0,1.0,1.0,0.0,15.0,0.0,2.0,2.0,3.0,0.0,3.0,1.0,10.0,5.0,3.0,3.0,60.0,3.0,2.0,2.0,2.0,0.0,0.0,278.0,0.0,1.0,0.0,13.0,1.0,19.0,1.0,0.0,0.0,1.0,5.0,0.0,66.0,8.0,9.0,0.0,22.0,2.0,0.0,3.0,2.0,1.0,0.0,3.0,4.0,7.0,3.0,18.0,0.0,1.0,4.0,3.0,6.0,5.0,7.0,0.0,10.0,1.0,7.0,3.0,0.0,110.0,4.0,0.0,1.0,0.0,6.0,1.0,2.0,0.0,2.0,0.0,8.0,1.0,0.0,16.0,4.0,6.0,0.0,1.0,8.0
variant,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,41.0,0.0,1.0,3.0,6.0,0.0,6.0,10.0,1.0,1.0,0.0,3.0,6.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,66.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,480.0,0.0,0.0,5.0,0.0,7.0,3.0,0.0,1.0,3.0,0.0,1.0,12.0,13.0,2.0,0.0,232.0,1.0,4.0,2.0,0.0,0.0,8.0,1.0,2.0,47.0,1.0,18.0,2.0,5.0,13.0,0.0,0.0,2.0,22.0,0.0,18.0,0.0,25.0,1.0,0.0,156.0,1.0,3.0,0.0,0.0,134.0,3.0,5.0,0.0,0.0,1.0,9.0,2.0,0.0,2.0,43.0,2.0,2.0,1.0,9.0
question,1.0,7.0,1.0,2.0,0.0,9.0,2.0,1.0,18.0,2.0,7.0,0.0,18.0,6.0,5.0,0.0,2.0,3.0,2.0,18.0,7.0,0.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,8.0,26.0,0.0,3.0,5.0,5.0,0.0,1.0,1.0,0.0,331.0,0.0,3.0,1.0,12.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,21.0,4.0,3.0,35.0,7.0,5.0,1.0,0.0,1.0,5.0,1.0,6.0,3.0,3.0,3.0,3.0,6.0,5.0,2.0,3.0,4.0,10.0,2.0,12.0,2.0,2.0,7.0,0.0,169.0,8.0,4.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,19.0,1.0,0.0,8.0,2.0,4.0,0.0,2.0,5.0
home,1.0,3.0,0.0,1.0,8.0,1.0,5.0,2.0,3.0,0.0,120.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,4.0,2.0,0.0,0.0,6.0,2.0,0.0,2.0,16.0,24.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,5.0,0.0,28.0,3.0,6.0,2.0,1.0,0.0,3.0,1.0,2.0,7.0,1.0,0.0,408.0,3.0,0.0,1.0,4.0,4.0,2.0,3.0,15.0,0.0,1.0,4.0,2.0,47.0,1.0,10.0,3.0,1.0,0.0,12.0,7.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,9.0
biontech,0.0,1.0,20.0,1.0,1.0,16.0,1.0,4.0,301.0,1.0,9.0,1.0,9.0,1.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0,19.0,4.0,3.0,4.0,177.0,2.0,1.0,20.0,1.0,3.0,0.0,13.0,5.0,3.0,0.0,477.0,3.0,12.0,3.0,0.0,1.0,6.0,2.0,1.0,22.0,16.0,7.0,1.0,4.0,4.0,3.0,1.0,1.0,22.0,4.0,1.0,9.0,25.0,2.0,8.0,2.0,0.0,6.0,0.0,1.0,7.0,13.0,0.0,14.0,1.0,4.0,8.0,1.0,229.0,12.0,2.0,0.0,0.0,46.0,1.0,11.0,1.0,1.0,2.0,11.0,14.0,2.0,34.0,6.0,5.0,0.0,1.0,0.0
supply,1.0,1.0,3.0,5.0,14.0,1.0,2.0,4.0,26.0,0.0,10.0,1.0,3.0,1.0,4.0,3.0,12.0,1.0,0.0,8.0,52.0,0.0,3.0,2.0,2.0,0.0,4.0,3.0,0.0,3.0,11.0,65.0,2.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,485.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,15.0,4.0,3.0,105.0,17.0,77.0,1.0,0.0,0.0,5.0,1.0,6.0,21.0,5.0,1.0,6.0,4.0,7.0,0.0,4.0,3.0,2.0,0.0,3.0,0.0,10.0,3.0,4.0,239.0,0.0,12.0,0.0,3.0,0.0,11.0,9.0,6.0,1.0,2.0,58.0,3.0,0.0,6.0,3.0,4.0,5.0,2.0,27.0
covidvaccine,3.0,15.0,6.0,12.0,16.0,50.0,18.0,53.0,153.0,13.0,165.0,4.0,26.0,15.0,25.0,6.0,11.0,4.0,24.0,89.0,34.0,6.0,56.0,17.0,1.0,9.0,27.0,21.0,11.0,31.0,57.0,667.0,8.0,59.0,37.0,9.0,2.0,8.0,19.0,7.0,12.0,5.0,12.0,8.0,2007.0,9.0,2.0,11.0,7.0,23.0,2.0,88.0,40.0,58.0,5.0,238.0,12.0,25.0,29.0,33.0,6.0,31.0,31.0,19.0,53.0,8.0,21.0,2.0,20.0,8.0,48.0,71.0,68.0,31.0,27.0,152.0,3.0,31.0,29.0,6.0,497.0,35.0,15.0,2.0,20.0,6.0,7.0,64.0,13.0,20.0,8.0,92.0,9.0,4.0,58.0,23.0,30.0,6.0,5.0,68.0
report,1.0,5.0,5.0,0.0,0.0,40.0,1.0,4.0,49.0,6.0,10.0,2.0,32.0,6.0,7.0,5.0,3.0,5.0,19.0,24.0,29.0,0.0,18.0,1.0,0.0,6.0,8.0,4.0,19.0,6.0,23.0,79.0,61.0,12.0,17.0,2.0,1.0,5.0,1.0,3.0,2.0,1.0,3.0,2.0,9.0,595.0,1.0,0.0,1.0,1.0,0.0,2.0,16.0,14.0,1.0,70.0,22.0,17.0,2.0,3.0,1.0,15.0,4.0,7.0,53.0,5.0,20.0,3.0,62.0,17.0,12.0,5.0,10.0,10.0,42.0,17.0,6.0,30.0,29.0,3.0,193.0,27.0,9.0,1.0,1.0,3.0,11.0,3.0,11.0,1.0,2.0,42.0,4.0,1.0,21.0,1.0,11.0,1.0,1.0,25.0
iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,26.0,0.0,10.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,160.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,27.0,1.0,15.0,0.0,0.0,0.0,9.0,0.0,1.0,21.0,3.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,4.0,59.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
team,0.0,5.0,14.0,0.0,1.0,3.0,5.0,20.0,38.0,2.0,29.0,0.0,8.0,1.0,6.0,2.0,0.0,3.0,2.0,23.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,24.0,10.0,143.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,11.0,0.0,0.0,373.0,5.0,1.0,0.0,9.0,16.0,7.0,3.0,24.0,2.0,3.0,7.0,6.0,0.0,6.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,27.0,9.0,6.0,4.0,1.0,3.0,20.0,0.0,4.0,3.0,1.0,110.0,4.0,5.0,4.0,4.0,2.0,0.0,2.0,1.0,4.0,0.0,15.0,2.0,1.0,1.0,6.0,2.0,1.0,0.0,6.0
scientist,0.0,0.0,18.0,13.0,2.0,1.0,0.0,30.0,15.0,13.0,44.0,0.0,3.0,2.0,10.0,1.0,3.0,2.0,0.0,10.0,11.0,1.0,4.0,3.0,0.0,0.0,12.0,12.0,0.0,16.0,10.0,73.0,1.0,2.0,3.0,1.0,5.0,0.0,1.0,3.0,1.0,2.0,6.0,1.0,7.0,1.0,0.0,5.0,380.0,0.0,0.0,4.0,16.0,8.0,1.0,54.0,3.0,2.0,11.0,4.0,0.0,1.0,0.0,2.0,7.0,6.0,9.0,1.0,0.0,3.0,0.0,2.0,10.0,5.0,0.0,33.0,0.0,8.0,1.0,0.0,130.0,0.0,6.0,6.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,25.0,4.0,9.0,4.0,11.0,5.0,0.0,2.0,11.0
covidvaccination,2.0,3.0,0.0,1.0,0.0,8.0,1.0,6.0,7.0,0.0,35.0,4.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,28.0,2.0,2.0,6.0,5.0,0.0,2.0,2.0,2.0,1.0,7.0,12.0,83.0,0.0,9.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,23.0,1.0,0.0,1.0,0.0,274.0,0.0,13.0,10.0,13.0,0.0,51.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,4.0,7.0,1.0,3.0,0.0,0.0,1.0,2.0,11.0,10.0,3.0,5.0,14.0,1.0,1.0,0.0,1.0,64.0,4.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,4.0,0.0,2.0,4.0,6.0,4.0,0.0,0.0,5.0
borisjohnson,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,9.0,1.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,107.0,6.0,3.0,10.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,42.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0
pfizerbiontech,3.0,6.0,15.0,8.0,5.0,31.0,4.0,58.0,160.0,10.0,105.0,3.0,23.0,8.0,19.0,0.0,2.0,1.0,3.0,68.0,1.0,16.0,6.0,4.0,6.0,12.0,14.0,15.0,6.0,32.0,38.0,51.0,4.0,23.0,4.0,6.0,5.0,8.0,66.0,12.0,2.0,5.0,22.0,4.0,88.0,2.0,0.0,9.0,4.0,13.0,6.0,1194.0,26.0,61.0,0.0,3.0,7.0,42.0,30.0,8.0,5.0,1.0,13.0,15.0,26.0,4.0,12.0,3.0,9.0,13.0,17.0,6.0,65.0,12.0,21.0,69.0,9.0,30.0,8.0,4.0,482.0,23.0,8.0,9.0,7.0,28.0,3.0,31.0,2.0,6.0,3.0,9.0,3.0,9.0,46.0,13.0,14.0,5.0,3.0,4.0
amp,3.0,10.0,15.0,15.0,19.0,36.0,15.0,58.0,231.0,19.0,106.0,3.0,50.0,17.0,33.0,6.0,7.0,13.0,13.0,67.0,36.0,1.0,43.0,12.0,1.0,11.0,16.0,34.0,13.0,23.0,66.0,347.0,17.0,38.0,41.0,5.0,10.0,10.0,8.0,13.0,21.0,8.0,16.0,15.0,40.0,16.0,5.0,16.0,16.0,10.0,3.0,26.0,2290.0,56.0,14.0,364.0,29.0,31.0,25.0,13.0,1.0,41.0,17.0,15.0,17.0,22.0,67.0,59.0,24.0,41.0,23.0,12.0,41.0,78.0,29.0,75.0,2.0,41.0,41.0,6.0,678.0,28.0,32.0,11.0,29.0,39.0,32.0,43.0,14.0,14.0,4.0,118.0,11.0,20.0,67.0,38.0,36.0,9.0,4.0,86.0
jab,13.0,15.0,4.0,6.0,40.0,48.0,17.0,37.0,72.0,13.0,177.0,1.0,50.0,10.0,33.0,1.0,22.0,0.0,4.0,48.0,31.0,0.0,67.0,9.0,1.0,7.0,6.0,19.0,10.0,43.0,95.0,223.0,16.0,37.0,47.0,9.0,2.0,6.0,9.0,2.0,4.0,5.0,7.0,4.0,58.0,14.0,1.0,7.0,8.0,13.0,10.0,61.0,56.0,1590.0,2.0,184.0,26.0,10.0,7.0,14.0,1.0,29.0,40.0,10.0,50.0,10.0,10.0,1.0,15.0,5.0,61.0,138.0,6.0,10.0,31.0,13.0,4.0,30.0,10.0,3.0,346.0,29.0,30.0,20.0,25.0,10.0,15.0,51.0,1.0,10.0,3.0,52.0,54.0,8.0,57.0,8.0,49.0,5.0,3.0,17.0
fda,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,20.0,0.0,2.0,0.0,3.0,4.0,0.0,14.0,0.0,0.0,17.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,14.0,2.0,187.0,63.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,3.0,6.0,0.0,14.0,0.0,3.0,6.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,17.0,0.0,86.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,19.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0
covaxin,33.0,45.0,8.0,46.0,246.0,136.0,51.0,80.0,68.0,33.0,422.0,13.0,251.0,41.0,156.0,401.0,14.0,27.0,120.0,369.0,16.0,0.0,11.0,69.0,0.0,17.0,68.0,170.0,6.0,80.0,150.0,29.0,26.0,17.0,20.0,58.0,11.0,22.0,22.0,232.0,35.0,28.0,4.0,105.0,238.0,70.0,27.0,24.0,54.0,51.0,6.0,3.0,364.0,184.0,63.0,10431.0,118.0,305.0,23.0,8.0,13.0,27.0,63.0,98.0,254.0,108.0,510.0,17.0,74.0,247.0,35.0,0.0,229.0,634.0,27.0,216.0,2.0,282.0,156.0,5.0,2317.0,108.0,148.0,6.0,219.0,232.0,105.0,66.0,91.0,24.0,37.0,62.0,13.0,23.0,71.0,128.0,180.0,16.0,17.0,810.0
country,65.0,4.0,1.0,22.0,31.0,6.0,12.0,4.0,37.0,0.0,28.0,1.0,61.0,13.0,15.0,8.0,14.0,3.0,42.0,55.0,128.0,0.0,71.0,4.0,2.0,2.0,6.0,105.0,0.0,3.0,19.0,28.0,6.0,1.0,57.0,4.0,0.0,0.0,2.0,1.0,7.0,3.0,4.0,17.0,12.0,22.0,1.0,2.0,3.0,1.0,2.0,7.0,29.0,26.0,1.0,118.0,1646.0,44.0,13.0,0.0,1.0,122.0,3.0,28.0,43.0,26.0,15.0,50.0,21.0,12.0,0.0,15.0,0.0,8.0,0.0,17.0,37.0,21.0,111.0,8.0,816.0,5.0,45.0,2.0,1.0,4.0,9.0,23.0,23.0,10.0,4.0,265.0,21.0,4.0,39.0,9.0,6.0,1.0,4.0,76.0
dos,5.0,2.0,6.0,5.0,24.0,3.0,3.0,2.0,91.0,5.0,56.0,3.0,15.0,62.0,13.0,8.0,21.0,5.0,9.0,71.0,104.0,0.0,153.0,0.0,0.0,3.0,30.0,15.0,0.0,7.0,35.0,203.0,3.0,0.0,144.0,5.0,1.0,1.0,0.0,4.0,5.0,6.0,3.0,77.0,25.0,17.0,15.0,3.0,2.0,2.0,0.0,42.0,31.0,10.0,4.0,305.0,44.0,1903.0,4.0,2.0,2.0,177.0,11.0,54.0,67.0,57.0,10.0,25.0,13.0,11.0,4.0,14.0,11.0,7.0,4.0,7.0,101.0,25.0,11.0,33.0,947.0,3.0,65.0,7.0,26.0,17.0,49.0,52.0,6.0,4.0,0.0,158.0,10.0,6.0,23.0,0.0,14.0,19.0,4.0,113.0
science,5.0,4.0,3.0,36.0,14.0,3.0,3.0,97.0,20.0,3.0,46.0,0.0,11.0,3.0,6.0,0.0,1.0,2.0,0.0,13.0,8.0,1.0,5.0,7.0,0.0,5.0,5.0,5.0,1.0,34.0,15.0,170.0,0.0,10.0,12.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,29.0,2.0,0.0,7.0,11.0,1.0,1.0,30.0,25.0,7.0,0.0,23.0,13.0,4.0,545.0,6.0,3.0,18.0,4.0,2.0,3.0,7.0,8.0,4.0,5.0,6.0,3.0,2.0,13.0,0.0,5.0,48.0,0.0,6.0,1.0,0.0,160.0,3.0,14.0,1.0,1.0,0.0,2.0,19.0,3.0,6.0,0.0,12.0,3.0,9.0,2.0,12.0,6.0,1.0,3.0,16.0
feel,1.0,8.0,1.0,6.0,1.0,36.0,6.0,10.0,14.0,17.0,51.0,1.0,7.0,5.0,10.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,5.0,7.0,0.0,5.0,7.0,3.0,4.0,6.0,58.0,206.0,1.0,81.0,2.0,3.0,1.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,33.0,3.0,0.0,6.0,4.0,3.0,0.0,8.0,13.0,14.0,0.0,8.0,0.0,2.0,6.0,542.0,0.0,0.0,18.0,8.0,5.0,2.0,1.0,0.0,1.0,0.0,49.0,10.0,18.0,0.0,55.0,68.0,0.0,3.0,0.0,0.0,132.0,23.0,4.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,4.0,2.0,3.0,2.0,2.0,7.0,2.0,2.0,3.0
group,12.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,34.0,0.0,6.0,1.0,20.0,0.0,5.0,0.0,0.0,0.0,1.0,16.0,5.0,0.0,26.0,1.0,0.0,0.0,13.0,2.0,2.0,6.0,6.0,13.0,0.0,0.0,12.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,22.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,13.0,1.0,2.0,3.0,0.0,257.0,12.0,2.0,3.0,3.0,7.0,12.0,0.0,7.0,4.0,4.0,5.0,4.0,5.0,0.0,4.0,1.0,5.0,1.0,0.0,95.0,2.0,3.0,0.0,1.0,3.0,3.0,5.0,1.0,3.0,0.0,10.0,2.0,2.0,6.0,3.0,0.0,0.0,0.0,4.0
china,14.0,1.0,3.0,16.0,36.0,5.0,6.0,3.0,13.0,1.0,24.0,3.0,33.0,8.0,30.0,0.0,89.0,3.0,60.0,54.0,67.0,0.0,525.0,3.0,1.0,2.0,9.0,42.0,3.0,5.0,19.0,7.0,22.0,1.0,485.0,0.0,4.0,5.0,0.0,8.0,5.0,3.0,4.0,5.0,31.0,15.0,9.0,6.0,1.0,0.0,0.0,1.0,41.0,29.0,4.0,27.0,122.0,177.0,18.0,0.0,12.0,1963.0,9.0,8.0,71.0,39.0,35.0,4.0,11.0,22.0,3.0,0.0,6.0,31.0,0.0,28.0,301.0,19.0,77.0,13.0,1296.0,1.0,42.0,0.0,5.0,9.0,14.0,15.0,18.0,8.0,3.0,24.0,2.0,8.0,4.0,14.0,10.0,5.0,1.0,26.0
morning,2.0,4.0,2.0,3.0,19.0,29.0,6.0,21.0,19.0,2.0,43.0,0.0,7.0,2.0,21.0,6.0,0.0,0.0,0.0,57.0,2.0,0.0,9.0,9.0,0.0,6.0,6.0,3.0,5.0,12.0,30.0,219.0,0.0,47.0,14.0,5.0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,31.0,4.0,0.0,4.0,0.0,1.0,0.0,13.0,17.0,40.0,0.0,63.0,3.0,11.0,4.0,18.0,2.0,9.0,683.0,3.0,9.0,5.0,1.0,0.0,2.0,0.0,40.0,21.0,24.0,2.0,22.0,60.0,7.0,41.0,0.0,0.0,160.0,24.0,4.0,2.0,5.0,0.0,2.0,13.0,2.0,5.0,1.0,10.0,5.0,3.0,5.0,4.0,15.0,0.0,2.0,4.0
month,29.0,2.0,7.0,7.0,4.0,24.0,0.0,1.0,55.0,2.0,29.0,1.0,21.0,9.0,19.0,3.0,7.0,1.0,3.0,32.0,40.0,0.0,17.0,7.0,0.0,1.0,46.0,5.0,1.0,6.0,10.0,227.0,2.0,6.0,12.0,1.0,1.0,3.0,4.0,2.0,6.0,2.0,9.0,6.0,19.0,7.0,1.0,1.0,2.0,4.0,1.0,15.0,15.0,10.0,3.0,98.0,28.0,54.0,2.0,8.0,3.0,8.0,3.0,833.0,16.0,9.0,65.0,10.0,7.0,23.0,7.0,4.0,16.0,19.0,2.0,49.0,9.0,18.0,8.0,8.0,319.0,18.0,11.0,0.0,4.0,28.0,5.0,14.0,6.0,2.0,3.0,47.0,5.0,3.0,11.0,3.0,11.0,14.0,1.0,39.0
coronavirus,9.0,2.0,15.0,7.0,37.0,9.0,8.0,3.0,130.0,5.0,42.0,6.0,40.0,15.0,16.0,2.0,25.0,2.0,35.0,89.0,147.0,0.0,81.0,3.0,0.0,2.0,22.0,46.0,5.0,4.0,30.0,179.0,108.0,4.0,67.0,3.0,4.0,1.0,7.0,47.0,3.0,7.0,25.0,21.0,53.0,53.0,21.0,3.0,7.0,7.0,2.0,26.0,17.0,50.0,6.0,254.0,43.0,67.0,3.0,5.0,3.0,71.0,9.0,16.0,1664.0,23.0,29.0,5.0,83.0,10.0,5.0,10.0,14.0,20.0,37.0,47.0,27.0,44.0,53.0,4.0,897.0,5.0,63.0,1.0,10.0,49.0,9.0,12.0,28.0,7.0,2.0,221.0,9.0,9.0,91.0,13.0,18.0,1.0,2.0,104.0
